STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,QPCP,Measurement Flag,Quality Flag,Units
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840101 00:15,0,g, ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840104 22:45,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840105 00:30,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840105 01:30,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840105 02:15,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840105 03:00,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840105 03:45,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 08:00,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 08:15,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 08:30,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 08:45,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 09:00,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 09:15,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 09:30,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 09:45,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 10:00,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 10:15,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 10:30,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 10:45,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 11:00,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 11:15,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 11:30,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 11:45,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 12:00,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 12:15,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 12:30,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 12:45,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 13:00,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 13:15,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 13:30,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 13:45,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 14:00,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 14:15,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 14:30,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 14:45,2, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 15:00,2, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 15:15,2, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 15:30,2, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 15:45,2, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 16:00,2, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 16:15,2, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 16:30,2, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 16:45,2, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 17:00,2, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 17:15,2, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 17:30,2, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 17:45,2, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 18:00,2, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 18:15,2, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 18:30,2, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 18:45,2, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 19:00,2, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 19:15,2, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 19:30,2, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 19:45,2, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840118 01:30,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840118 02:00,2, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840118 02:15,2, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840118 02:30,2, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840118 02:45,2, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840118 03:00,2, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840118 03:15,2, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840118 03:30,2, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840118 03:45,2, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840118 04:00,2, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840118 04:15,2, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840118 04:30,2, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840118 04:45,2, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840118 05:00,2, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840118 05:15,2, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840118 05:30,2, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840118 05:45,2, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840118 06:00,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840118 06:30,2, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840118 07:00,2, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840118 07:45,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840118 08:30,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840118 09:15,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840118 10:00,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840118 10:45,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840118 11:30,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840118 12:15,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840118 13:00,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840118 13:45,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840118 14:30,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840118 15:15,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840118 16:00,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840118 16:45,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840118 17:30,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840118 18:15,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840118 19:00,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840118 19:45,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840118 21:30,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840119 00:15,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840119 03:00,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840123 11:15,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840123 13:30,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840123 15:45,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840123 18:00,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840123 20:15,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840123 22:30,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840123 23:45,2, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 00:15,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 00:30,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 00:45,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 01:00,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 01:15,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 01:30,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 01:45,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 02:00,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 02:15,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 02:30,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 02:45,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 03:00,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 03:15,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 03:30,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 03:45,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 04:00,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 04:15,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 04:30,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 04:45,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 05:00,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 05:15,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 05:30,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 05:45,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 06:00,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 06:15,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 06:30,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 06:45,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 07:00,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 07:15,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 09:00,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 10:00,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 11:00,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 12:00,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 13:00,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 14:00,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 15:00,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 16:00,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 17:00,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 18:00,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 19:00,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 20:00,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 21:00,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 22:30,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840125 02:15,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840125 06:00,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840125 08:30,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840130 10:15,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840130 11:30,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840130 12:45,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840130 14:00,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840130 15:15,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840130 16:30,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840130 17:45,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840130 19:00,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840130 22:00,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840131 02:30,1, , ,HI
