Date,Open,High,Low,Close,Volume,Adj Close
3/11/99,94.5,98.38,88.19,92.19,7990800,36.16
4/1/99,93.44,106.81,43.19,46.0,10217800,36.09
5/3/99,45.88,47.62,41.0,42.62,8439200,33.44
6/1/99,42.69,48.5,42.19,48.25,6363000,37.9
7/1/99,47.94,51.0,42.25,42.25,5328000,33.18
8/2/99,42.31,48.44,38.88,44.31,6063400,34.8
9/1/99,44.31,48.0,43.56,47.56,5383200,37.4
10/1/99,48.0,58.5,47.56,56.31,7699500,44.28
11/1/99,57.25,60.69,55.0,57.62,5922200,45.31
12/1/99,57.69,70.25,57.0,69.12,6327100,54.39
1/3/00,68.38,69.0,53.5,54.75,7186100,43.08
2/1/00,55.0,60.12,43.44,48.75,12361800,38.36
3/1/00,49.88,60.75,45.62,56.5,10471100,44.51
4/3/00,56.62,64.94,51.75,55.38,7442200,43.63
5/1/00,56.38,60.0,49.5,57.62,6912100,45.4
6/1/00,57.12,60.06,51.62,57.62,6238300,45.45
7/3/00,57.25,62.94,54.25,55.25,5741300,43.58
8/1/00,54.0,57.62,47.12,47.62,8900600,37.56
9/1/00,47.56,54.75,46.88,48.12,7924100,38.0
10/2/00,48.19,48.62,41.44,45.38,10546800,35.83
11/1/00,46.5,52.19,42.56,52.19,9904100,41.21
12/1/00,52.62,55.94,46.94,53.12,8968500,42.0
1/2/01,53.12,58.75,50.44,56.8,9084400,44.91
2/1/01,56.8,56.8,48.05,50.09,7615700,39.6
3/1/01,49.25,51.9,45.2,50.5,8079800,39.98
4/2/01,50.0,53.3,47.41,51.74,7817000,40.96
5/1/01,51.72,54.75,51.0,51.75,6929500,40.97
6/1/01,51.54,52.45,48.0,48.8,6270300,38.69
7/2/01,48.95,56.5,46.71,55.9,7702500,44.32
8/1/01,55.4,56.77,47.24,48.05,6913400,38.1
9/4/01,48.23,49.95,42.0,49.5,12259100,39.31
10/1/01,49.5,54.75,48.14,51.4,8476800,40.82
11/1/01,51.2,56.24,50.86,55.15,7927700,43.79
12/3/01,55.06,58.74,53.03,57.55,7036800,45.76
1/2/02,57.65,59.98,55.31,59.98,7509100,47.69
2/1/02,59.7,62.88,58.1,62.01,8614900,49.3
3/1/02,62.2,63.94,60.3,61.3,7858600,48.8
4/1/02,60.35,61.85,55.46,55.86,8377800,44.47
5/1/02,55.6,59.3,53.61,54.1,8449400,43.07
6/3/02,54.18,58.88,52.0,55.01,10674000,43.85
7/1/02,55.3,56.7,43.72,49.18,12254300,39.2
8/1/02,49.0,54.79,45.19,53.48,10124600,42.63
9/3/02,52.85,57.0,48.1,49.24,10314400,39.3
10/1/02,49.24,58.02,48.55,53.55,12733800,42.74
11/1/02,53.59,56.2,52.57,53.9,8856400,43.02
12/2/02,55.96,56.74,48.95,50.51,8592700,40.37
1/2/03,50.65,52.18,46.92,47.8,8854700,38.21
2/3/03,47.77,49.79,46.25,48.06,8152400,38.42
3/3/03,48.6,54.86,46.5,52.03,8872100,41.66
4/1/03,52.1,57.51,51.52,56.32,8677100,45.1
5/1/03,56.32,56.95,51.63,52.61,9612700,42.13
6/2/03,52.96,55.59,52.12,53.67,8310200,43.05
7/1/03,53.5,57.7,53.0,55.91,7586800,44.84
8/1/03,55.72,59.48,54.78,59.17,6754600,47.46
9/2/03,58.96,60.2,55.8,55.85,8948800,44.79
10/1/03,56.02,59.64,56.01,58.95,6871900,47.35
11/3/03,58.77,59.93,54.36,55.64,9239500,44.7
12/1/03,55.64,55.66,50.5,53.05,13037700,42.69
1/2/04,53.35,54.95,51.58,53.85,10473700,43.33
2/2/04,54.2,60.15,54.15,59.56,12529100,47.93
3/1/04,59.67,61.31,57.27,59.69,10035100,48.14
4/1/04,58.75,60.14,56.15,57.0,9610400,45.97
5/3/04,57.0,57.52,53.45,55.73,10575000,45.05
6/1/04,55.45,57.83,51.93,52.5,10886200,42.44
7/1/04,53.1,54.19,51.5,53.01,10426800,42.85
8/2/04,53.02,54.97,51.08,52.67,8859800,42.68
9/1/04,52.46,53.96,51.1,53.2,10429700,43.11
10/1/04,53.5,54.38,51.91,53.92,9325900,43.69
11/1/04,53.92,57.89,52.06,52.06,12662700,42.19
12/1/04,52.5,53.65,52.0,52.82,10911300,42.91
1/3/05,53.75,54.6,52.22,52.4,9707700,42.57
2/1/05,52.4,53.74,51.1,51.61,10127600,41.92
3/1/05,52.01,53.49,50.06,50.11,17717600,40.82
4/1/05,50.25,50.5,46.2,47.14,16875800,38.41
5/2/05,47.48,49.46,46.6,47.23,12692200,38.6
6/1/05,47.25,50.3,47.21,48.2,11310400,39.39
7/1/05,48.25,50.69,48.15,49.35,9510600,40.33
8/1/05,49.62,49.87,44.7,44.96,13142700,36.86
9/1/05,44.95,46.48,42.31,43.82,21842000,35.93
10/3/05,44.15,47.55,43.3,47.31,15793800,38.79
11/1/05,47.12,50.87,46.61,48.56,13311500,39.81
12/1/05,48.59,49.74,46.75,46.8,12807800,38.49
1/3/06,46.36,46.95,44.54,46.11,16772200,37.92
2/1/06,46.05,47.02,44.52,45.36,13086400,37.3
3/1/06,45.36,48.87,44.86,47.24,12090300,38.99
4/3/06,47.27,47.31,44.99,45.03,11183300,37.17
5/1/06,45.92,50.0,45.54,48.45,14275300,40.13
6/1/06,48.25,49.19,46.55,48.17,11675100,39.9
7/3/06,47.75,48.05,42.31,44.5,14152600,36.86
8/1/06,44.35,45.45,43.48,44.72,10690100,37.18
9/1/06,45.0,49.95,44.02,49.32,13889600,41.01
10/2/06,48.62,52.15,47.64,49.28,17412500,40.97
11/1/06,49.38,49.7,45.97,46.1,18865700,38.33
12/1/06,46.0,46.89,44.8,46.18,14442800,38.54
1/3/07,47.09,48.78,46.51,47.69,15240700,39.8
2/1/07,47.51,50.42,47.44,48.31,15754400,40.32
3/1/07,47.78,48.32,45.06,46.95,16479800,39.37
4/2/07,47.06,49.95,46.83,47.92,13556600,40.18
5/1/07,47.92,48.88,46.32,47.6,14849200,40.1
6/1/07,47.9,51.44,47.69,48.11,21795000,40.53
7/2/07,48.2,49.26,45.73,45.95,17741300,38.71
8/1/07,46.05,48.42,42.92,43.63,25314000,36.94
9/4/07,43.51,45.05,42.09,43.65,20484700,36.96
10/1/07,43.83,47.7,43.27,45.21,19963000,38.28
11/1/07,44.7,48.23,42.5,47.9,21368400,40.56
12/3/07,47.71,50.05,46.87,47.53,15835100,40.42
1/2/08,47.41,51.3,43.11,50.74,30515500,43.15
2/1/08,50.9,51.57,47.84,49.59,24842400,42.18
3/3/08,49.43,54.15,48.64,52.68,25488700,45.02
4/1/08,53.19,59.04,52.81,57.98,20886300,49.55
5/1/08,58.2,59.09,55.05,57.74,19291100,49.55
6/2/08,57.41,59.95,55.85,56.2,22170900,48.23
7/1/08,56.0,59.56,55.34,58.62,23372300,50.3
8/1/08,58.75,61.0,56.81,59.07,19461500,50.9
9/2/08,59.9,63.85,57.74,59.89,27956100,51.6
10/1/08,59.51,60.3,47.4,55.81,33669200,48.09
11/3/08,56.76,57.25,50.2,55.88,27572100,48.15
12/1/08,55.37,59.23,52.22,56.06,21967800,48.51
1/2/09,55.98,57.51,46.92,47.12,26958000,40.77
2/2/09,46.57,50.67,46.25,49.24,28273400,42.61
3/2/09,48.81,53.0,47.0,52.1,25748800,45.34
4/1/09,51.38,54.57,47.64,50.4,22551300,43.86
5/1/09,50.5,51.38,48.12,49.74,19494400,43.52
6/1/09,50.18,51.75,48.02,48.44,19751700,42.38
7/1/09,48.55,50.43,47.35,49.88,17442300,43.64
8/3/09,50.22,52.56,48.75,50.87,17214000,44.75
9/1/09,50.81,52.1,48.73,49.09,18941100,43.18
10/1/09,49.07,52.0,48.73,49.68,17802400,43.7
11/2/09,49.81,55.09,49.52,54.55,15896900,47.99
12/1/09,54.85,55.08,52.31,53.45,12474800,47.26
1/4/10,53.74,55.2,52.51,53.43,16624800,47.24
2/1/10,53.62,54.5,52.66,54.07,15497700,47.81
3/1/10,54.04,56.27,53.15,55.6,12205700,49.44
4/1/10,55.75,55.9,53.52,53.64,14249000,47.69
5/3/10,53.88,54.95,50.0,50.56,20606900,45.22
6/1/10,50.8,52.08,48.01,48.07,18588000,42.99
7/1/10,48.1,51.81,47.77,51.19,13994800,45.78
8/2/10,51.55,52.48,50.0,50.14,13541700,45.1
9/1/10,50.49,54.39,50.46,53.52,10818300,48.14
10/1/10,53.6,54.82,52.93,54.17,10308400,48.73
11/1/10,54.05,55.72,53.43,54.09,12350400,48.65
12/1/10,54.42,55.34,53.14,53.93,11512500,48.78
1/3/11,54.23,57.9,53.54,56.07,13817200,50.71
2/1/11,56.37,56.73,51.52,51.98,15512600,47.02
3/1/11,52.16,53.88,50.97,52.05,12615000,47.41
4/1/11,52.25,55.16,51.92,54.98,9390400,50.08
5/2/11,55.08,56.47,54.19,55.22,9742800,50.63
6/1/11,54.98,55.17,51.79,53.14,13297600,48.72
7/1/11,53.19,54.81,52.67,52.71,10564800,48.33
8/1/11,52.79,53.49,48.31,53.19,19032900,49.12
9/1/11,53.2,53.55,49.94,51.9,13785000,47.93
10/3/11,51.88,57.96,51.63,56.72,13252400,52.38
11/1/11,55.82,59.4,55.68,58.9,11283700,54.39
12/1/11,58.64,60.0,57.42,59.76,9441500,55.53
1/3/12,59.97,62.0,58.37,61.36,8666900,57.02
2/1/12,61.79,62.63,58.21,59.08,10539900,54.9
3/1/12,59.36,61.5,58.64,61.2,8761900,57.25
4/2/12,61.08,62.49,57.18,58.91,12963500,55.11
5/1/12,58.95,66.66,58.27,65.82,11993700,61.99
6/1/12,65.43,69.72,65.13,69.72,11425100,65.66
7/2/12,69.6,75.24,69.15,74.43,10429000,70.1
8/1/12,74.7,74.96,71.35,72.6,7369700,68.75
9/4/12,72.77,75.19,72.57,73.8,6717100,69.88
10/1/12,73.8,77.6,73.63,75.02,7209900,71.04
11/1/12,75.13,75.16,67.65,72.02,9817700,68.2
12/3/12,72.11,72.7,67.37,68.23,10272300,64.97
1/2/13,68.93,70.44,67.72,69.95,7572500,66.6
2/1/13,70.11,71.96,68.13,70.78,11807300,67.39
3/1/13,70.78,75.11,70.78,74.83,7941200,71.71
4/1/13,75.0,79.5,74.9,77.72,7865900,74.48
5/1/13,77.85,79.96,74.82,74.84,7820000,72.15
6/3/13,75.06,76.87,72.9,74.49,8857800,71.81
7/1/13,74.99,78.69,74.09,77.94,5412100,75.14
8/1/13,78.42,79.0,72.23,72.98,6359700,70.78
9/3/13,73.48,76.73,72.19,73.96,6543100,71.74
10/1/13,73.87,77.63,71.51,76.75,6765500,74.44
11/1/13,76.97,81.35,76.59,81.01,5829500,78.57
12/2/13,80.89,81.37,76.81,78.69,5790600,76.77
1/2/14,78.72,79.47,73.64,74.68,7456800,72.86
2/3/14,74.19,75.99,72.27,74.7,7797500,72.87
3/3/14,74.49,77.53,73.83,76.43,7048200,75.04
4/1/14,76.76,79.99,76.29,79.71,6652800,78.26
5/1/14,79.73,79.76,75.24,76.77,6074400,75.84
6/2/14,76.58,77.76,74.67,75.07,6312100,74.16
7/1/14,75.27,77.57,73.54,73.58,5900700,72.69
8/1/14,73.32,76.2,72.77,75.5,5704500,75.08
9/2/14,75.42,77.73,75.41,76.47,6000100,76.05
10/1/14,76.51,79.37,72.61,76.27,8041600,75.85
11/3/14,76.35,88.09,75.59,87.54,8792600,87.05
12/1/14,86.72,87.44,82.65,85.88,6503100,85.88
1/2/15,86.27,90.97,85.51,86.77,9379300,86.77
